test_split,k,accuracy,distance
0.2,1,0.948905109489051,Euclidean
0.2,1,0.6642335766423357,Cosine
0.2,1,0.9562043795620438,Manhattan
0.2,1,0.029197080291970802,Jaccard
0.2,1,0.6642335766423357,Mahalanobis
0.2,2,0.9124087591240876,Euclidean
0.2,2,0.6642335766423357,Cosine
0.2,2,0.9197080291970803,Manhattan
0.2,2,0.021897810218978103,Jaccard
0.2,2,0.6642335766423357,Mahalanobis
0.2,3,0.948905109489051,Euclidean
0.2,3,0.6642335766423357,Cosine
0.2,3,0.9635036496350365,Manhattan
0.2,3,0.021897810218978103,Jaccard
0.2,3,0.6642335766423357,Mahalanobis
0.2,4,0.8978102189781022,Euclidean
0.2,4,0.6642335766423357,Cosine
0.2,4,0.927007299270073,Manhattan
0.2,4,0.021897810218978103,Jaccard
0.2,4,0.6642335766423357,Mahalanobis
0.2,5,0.8978102189781022,Euclidean
0.2,5,0.6642335766423357,Cosine
0.2,5,0.9416058394160584,Manhattan
0.2,5,0.021897810218978103,Jaccard
0.2,5,0.6642335766423357,Mahalanobis
0.2,6,0.8832116788321168,Euclidean
0.2,6,0.6642335766423357,Cosine
0.2,6,0.9051094890510949,Manhattan
0.2,6,0.0364963503649635,Jaccard
0.2,6,0.6642335766423357,Mahalanobis
0.2,7,0.8832116788321168,Euclidean
0.2,7,0.6642335766423357,Cosine
0.2,7,0.927007299270073,Manhattan
0.2,7,0.0364963503649635,Jaccard
0.2,7,0.6642335766423357,Mahalanobis
0.2,8,0.8686131386861314,Euclidean
0.2,8,0.6642335766423357,Cosine
0.2,8,0.9051094890510949,Manhattan
0.2,8,0.029197080291970802,Jaccard
0.2,8,0.6642335766423357,Mahalanobis
0.2,9,0.8759124087591241,Euclidean
0.2,9,0.6642335766423357,Cosine
0.2,9,0.9051094890510949,Manhattan
0.2,9,0.0364963503649635,Jaccard
0.2,9,0.6642335766423357,Mahalanobis
0.2,10,0.8540145985401459,Euclidean
0.2,10,0.6642335766423357,Cosine
0.2,10,0.8978102189781022,Manhattan
0.2,10,0.0364963503649635,Jaccard
0.2,10,0.6642335766423357,Mahalanobis
0.3,1,0.9560975609756097,Euclidean
0.3,1,0.6487804878048781,Cosine
0.3,1,0.9707317073170731,Manhattan
0.3,1,0.03902439024390244,Jaccard
0.3,1,0.35121951219512193,Mahalanobis
0.3,2,0.926829268292683,Euclidean
0.3,2,0.6487804878048781,Cosine
0.3,2,0.9219512195121952,Manhattan
0.3,2,0.03902439024390244,Jaccard
0.3,2,0.6487804878048781,Mahalanobis
0.3,3,0.9463414634146341,Euclidean
0.3,3,0.6487804878048781,Cosine
0.3,3,0.9658536585365853,Manhattan
0.3,3,0.03414634146341464,Jaccard
0.3,3,0.6487804878048781,Mahalanobis
0.3,4,0.9170731707317074,Euclidean
0.3,4,0.6487804878048781,Cosine
0.3,4,0.9414634146341463,Manhattan
0.3,4,0.03414634146341464,Jaccard
0.3,4,0.6487804878048781,Mahalanobis
0.3,5,0.9024390243902439,Euclidean
0.3,5,0.6487804878048781,Cosine
0.3,5,0.9609756097560975,Manhattan
0.3,5,0.03902439024390244,Jaccard
0.3,5,0.6487804878048781,Mahalanobis
0.3,6,0.8829268292682927,Euclidean
0.3,6,0.6487804878048781,Cosine
0.3,6,0.9219512195121952,Manhattan
0.3,6,0.024390243902439025,Jaccard
0.3,6,0.6487804878048781,Mahalanobis
0.3,7,0.8829268292682927,Euclidean
0.3,7,0.6487804878048781,Cosine
0.3,7,0.926829268292683,Manhattan
0.3,7,0.02926829268292683,Jaccard
0.3,7,0.35121951219512193,Mahalanobis
0.3,8,0.8536585365853658,Euclidean
0.3,8,0.6487804878048781,Cosine
0.3,8,0.9121951219512195,Manhattan
0.3,8,0.024390243902439025,Jaccard
0.3,8,0.35121951219512193,Mahalanobis
0.3,9,0.8536585365853658,Euclidean
0.3,9,0.6487804878048781,Cosine
0.3,9,0.9121951219512195,Manhattan
0.3,9,0.024390243902439025,Jaccard
0.3,9,0.35121951219512193,Mahalanobis
0.3,10,0.8341463414634146,Euclidean
0.3,10,0.6487804878048781,Cosine
0.3,10,0.9121951219512195,Manhattan
0.3,10,0.024390243902439025,Jaccard
0.3,10,0.35121951219512193,Mahalanobis
0.4,1,0.9525547445255474,Euclidean
0.4,1,0.6277372262773723,Cosine
0.4,1,0.9525547445255474,Manhattan
0.4,1,0.10583941605839416,Jaccard
0.4,1,0.6277372262773723,Mahalanobis
0.4,2,0.9051094890510949,Euclidean
0.4,2,0.6277372262773723,Cosine
0.4,2,0.9124087591240876,Manhattan
0.4,2,0.09124087591240876,Jaccard
0.4,2,0.6277372262773723,Mahalanobis
0.4,3,0.9197080291970803,Euclidean
0.4,3,0.6277372262773723,Cosine
0.4,3,0.9416058394160584,Manhattan
0.4,3,0.040145985401459854,Jaccard
0.4,3,0.6277372262773723,Mahalanobis
0.4,4,0.8795620437956204,Euclidean
0.4,4,0.6277372262773723,Cosine
0.4,4,0.9233576642335767,Manhattan
0.4,4,0.043795620437956206,Jaccard
0.4,4,0.6277372262773723,Mahalanobis
0.4,5,0.8832116788321168,Euclidean
0.4,5,0.6277372262773723,Cosine
0.4,5,0.9416058394160584,Manhattan
0.4,5,0.043795620437956206,Jaccard
0.4,5,0.6277372262773723,Mahalanobis
0.4,6,0.8321167883211679,Euclidean
0.4,6,0.6277372262773723,Cosine
0.4,6,0.9087591240875912,Manhattan
0.4,6,0.043795620437956206,Jaccard
0.4,6,0.6277372262773723,Mahalanobis
0.4,7,0.8321167883211679,Euclidean
0.4,7,0.6277372262773723,Cosine
0.4,7,0.9197080291970803,Manhattan
0.4,7,0.040145985401459854,Jaccard
0.4,7,0.6277372262773723,Mahalanobis
0.4,8,0.7773722627737226,Euclidean
0.4,8,0.6277372262773723,Cosine
0.4,8,0.8978102189781022,Manhattan
0.4,8,0.040145985401459854,Jaccard
0.4,8,0.6277372262773723,Mahalanobis
0.4,9,0.7846715328467153,Euclidean
0.4,9,0.6277372262773723,Cosine
0.4,9,0.9051094890510949,Manhattan
0.4,9,0.040145985401459854,Jaccard
0.4,9,0.6277372262773723,Mahalanobis
0.4,10,0.7591240875912408,Euclidean
0.4,10,0.6277372262773723,Cosine
0.4,10,0.8868613138686131,Manhattan
0.4,10,0.040145985401459854,Jaccard
0.4,10,0.6277372262773723,Mahalanobis
